Product Name,ASIN,Price
"boAt Stone 352 Pro Bluetooth Speaker w/ 14W Signature Sound, Up to 12hrs Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface(Raging Black)",B0D6W7F7WH,"₹1,799.00"
"boAt Stone 580 Bluetooth Speaker with 12W RMS Stereo Sound, LED Lights, Up to 8 HRS Playtime, TWS Feature, FM Radio, Multi-Compatibility Mode, IPX4(Midnight Black)",B0CC5VH2LW,"₹1,499.00"
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Black)",B07YNV41FT,₹399.00
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"boAt Stone 352 Pro Bluetooth Speaker w/ 14W Signature Sound, Up to 12hrs Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface(Raging Black)",B0D6W7F7WH,"₹1,799.00"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",B0BLNMXT67,₹599.00
"Tribit StormBox Mini 12W 5.4 Bluetooth Wireless Speaker,360°Surround Sound,Built-in XBass,LED Lights,12H Playtime,IPX7 Waterproof,Wireless Stereo Pairing,Type-C,Portable for Home/Outdoor/Travel Black",B0D4Z148NG,"₹2,799.00"
"pTron Fusion Smart 10W Mini Bluetooth Speaker with Wireless Karaoke Mic, 10Hrs Playtime, RGB Lights, Voice Effects, Play Modes BT5.3/TF Card/USB & Type C Fast Charging Port (Ivory White)",B0CTR4PJRP,"₹1,199.00"
"Tribit [Upgraded Version XSound Go Wireless Bluetooth 5.0 Speakers with Loud Stereo Sound & Rich Bass 16W,24H Playtime,100 ft Bluetooth Range,Outdoor Lightweight IPX7 Waterproof,Built-in Mic (Black)",B078S4P3J9,"₹3,099.00"
"ZEBRONICS Igloo 1, 2.0 USB Computer Speakers, 8 Watts, Multicolor LED, USB Powered, AUX, Volume Control Pod for PC, Laptops, Desktop",B0DB29X1YX,₹399.00
"boAt Aavante Bar 610 Bluetooth Soundbar with 25W RMS Signature Sound, 2.0 Channel with Dual Passive Radiators, Upto 7 Hours Playback & Multi Connectivity(Charcoal Black)",B0BZ4DJ7GZ,"₹1,999.00"
"Mivi Play Bluetooth Speaker with 12 Hours Playtime. Wireless Speaker Made in India with Exceptional Sound Quality, Portable and Built in Mic-Black",B094RCC4L1,₹698.00
"boAt Aavante Bar 490 Bluetooth Soundbar 10W RMS Signature Sound,2.0 Channel,BTv5.1,Dual Full-Range Drivers, AUX, TF Card, USB, Upto 7 Hrs Playback,Built-in Mic,TWS Feature(Classic Black)",B0CH3G9VR2,₹999.00
"ZEBRONICS Sound Feast 90 10W Output, Portable Wireless Speaker with Bluetooth v5.0, FM Radio, TWS, 6.3mm Wired Mic Support, USB, mSD, AUX, Mobile Holder and RGB Lights",B0C6QY4TTP,₹899.00
"Portronics SoundDrum 1 10W TWS Portable Bluetooth 5.3 Speaker with Powerful Bass, Inbuilt-FM & Type C Charging Cable Included(Blue)",B097D69GJ1,₹888.00
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type C (Without Mic, Blue)",B08FB396L1,"₹2,799.00"
"AmazonBasics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Grey)",B0BLNKMBDS,₹599.00
"amazon basics Bluetooth Speaker 5.3 Soundbar with 16W RMS, 2000mAh Battery, Upto 19 Hrs Playtime Aux/USB Port (Black)",B0BLNKY3NR,₹749.00
TRONICA PS07 Premium Series 7.1 Digital 60W Bluetooth Home Theater System PenDrive FM Aux TV Compatible with All Function Remote,B0BQTYSF7W,"₹3,014.00"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"boAt Stone 620 Bluetooth Speaker with 12W RMS Stereo Sound, 10HRS Playtime, TWS Feature, IPX4, Multi-Compatibility Mode(Black)",B09GFRV7L5,"₹1,998.00"
"Zebronics Astra 30 Portable Bluetooth Speaker with 14W Output Power, TWS Function, Dual Passive Radiator, Dual 52mm Drives, FM, AUX, USB, mSD (Silver)",B0CHK19SJF,₹699.00
"pTron Fusion Go 10W Portable Bluetooth Speaker with 6Hrs Playtime, Immersive Sound, Auto-TWS Function, Supports BT/USB/SD Card/AUX Playback & Lightweight (Black)",B0CCBS7CZZ,₹489.00
"JBL Flip 5 Wireless Portable Bluetooth Speaker, Signature Sound with Powerful Bass Radiator, Vibrant Colors with Rugged Fabric Design, Party Boost, IPX7 Waterproof & Type C (without Mic, Blue)",B07SWMGSSV,"₹6,999.00"
"pTron Fusion Mount Mini Bluetooth Speaker, 12W HD Sound, Beat Synced RGB Lights, 10Hrs Playtime, Multi-Playback Modes-BT5.1/TF Card/Aux-in Port, IPX4 Water Resistant Speaker & Type-C Charging (Black)",B0CTR3D1XV,₹799.00
"Amazon Basics Party Speaker with Karaoke Mic, 16W, 4"" Double Woofer, RGB Light, 1800 mAh Battery, Digital Display, Remote Control, Bluetooth/Aux/USB Port/SD Card Connectivity",B0D86YS8MB,"₹1,649.00"
"ZEBRONICS Zeb-Fame 5watts 2.0 Multi Media Speakers with AUX, USB and Volume Control (Black)",B07L3NDN24,₹399.00
